"year","region","land_type","glb_lt_area_thous_sqkm","above_wsum","below_wsum","above_scalar","below_scalar"
2085,"Globe","CornC4",1560.67336396141,1589.71212309461,1460.2714497378,1.01860655778701,0.935667567255222
2090,"Globe","CornC4",1588.459396259,1577.03757480476,1450.90439839342,0.992809497377687,0.913403516520764
2095,"Globe","CornC4",1654.69535404166,1566.18546550996,1453.43448135044,0.94650985855764,0.878369832731062
2100,"Globe","CornC4",1647.93330285456,1573.04700219859,1481.68303871591,0.954557444451026,0.899115902415059
2025,"Globe","FiberCrop",291.777237354626,302.437626873457,299.135883177646,1.03653605612104,1.0252200819013
2030,"Globe","FiberCrop",280.69925518959,318.66413391364,300.056994672055,1.13525108464719,1.06896256090665
2035,"Globe","FiberCrop",306.71768243708,315.321023370213,313.766546258485,1.02804970637745,1.02298160238235
2040,"Globe","FiberCrop",297.610944048105,320.229363940198,314.032117713034,1.07599996016422,1.05517664586379
2045,"Globe","FiberCrop",290.74475940643,321.964188576175,313.119478749903,1.10737744416608,1.07695656970448
2050,"Globe","FiberCrop",309.291808528427,312.652031108295,309.594333488529,1.01086424692544,1.00097812147545
2055,"Globe","FiberCrop",275.646856812226,336.923013926587,312.213267575481,1.2222994951693,1.13265673037645
2060,"Globe","FiberCrop",278.06981480097,333.149760777869,303.65361402031,1.19807955788485,1.09200494932415
2065,"Globe","FiberCrop",285.835911908066,329.178313510806,299.435446296045,1.15163385633881,1.04757811674956
2070,"Globe","FiberCrop",292.671806022462,337.693147586164,314.610583939655,1.15382876190078,1.07496033941687
2075,"Globe","FiberCrop",284.945494251355,330.437124841547,304.972107027101,1.15965028929379,1.07028225811523
