"scenario","region","gcam_cover","year","gcam_cover_area_thouskm2"
"CONTROL","Global","gcam_nb_crop",2050,15702.8120886367
"CONTROL","Global","gcam_nb_crop",2055,15631.2972173328
"CONTROL","Global","gcam_nb_crop",2060,15501.5203899216
"CONTROL","Global","gcam_nb_crop",2065,15381.4255070278
"CONTROL","Global","gcam_nb_crop",2070,15342.6325358969
"CONTROL","Global","gcam_nb_crop",2075,15283.0993818677
"CONTROL","Global","gcam_nb_crop",2080,15218.49817313
"CONTROL","Global","gcam_nb_crop",2085,15142.7937139958
"CONTROL","Global","gcam_nb_crop",2090,15079.4198736869
"CONTROL","Global","gcam_nb_crop",2095,15029.5741223246
"CONTROL","Global","gcam_nb_crop",2100,14961.6009402121
"FULL_FDBK","Global","gcam_nb_crop",2015,15838.9827610302
"FULL_FDBK","Global","gcam_nb_crop",2020,16193.3499172057
"FULL_FDBK","Global","gcam_nb_crop",2025,15901.0048471918
"FULL_FDBK","Global","gcam_nb_crop",2030,15848.3852670795
"FULL_FDBK","Global","gcam_nb_crop",2035,16036.4844948611
"FULL_FDBK","Global","gcam_nb_crop",2040,15645.8602852004
"FULL_FDBK","Global","gcam_nb_crop",2045,15286.3047707954
"FULL_FDBK","Global","gcam_nb_crop",2050,15459.7493695958
"FULL_FDBK","Global","gcam_nb_crop",2055,14943.9257786144
"FULL_FDBK","Global","gcam_nb_crop",2060,14701.8612027967
"FULL_FDBK","Global","gcam_nb_crop",2065,14577.0423944487
"FULL_FDBK","Global","gcam_nb_crop",2070,14794.0823714572
"FULL_FDBK","Global","gcam_nb_crop",2075,14517.4433960812
"FULL_FDBK","Global","gcam_nb_crop",2080,14479.3265351653
"FULL_FDBK","Global","gcam_nb_crop",2085,14692.2223530341
"FULL_FDBK","Global","gcam_nb_crop",2090,14505.4346420026
"FULL_FDBK","Global","gcam_nb_crop",2095,14900.1748572381
"FULL_FDBK","Global","gcam_nb_crop",2100,14685.7028423736
"CONTROL","Global","gcam_biomass",2015,0
"CONTROL","Global","gcam_biomass",2020,0
"CONTROL","Global","gcam_biomass",2025,982.191369492189
"CONTROL","Global","gcam_biomass",2030,1588.69983333384
"CONTROL","Global","gcam_biomass",2035,2289.39587093503
"CONTROL","Global","gcam_biomass",2040,2717.98957391651
"CONTROL","Global","gcam_biomass",2045,3271.87969056263
"CONTROL","Global","gcam_biomass",2050,3674.81153613406
"CONTROL","Global","gcam_biomass",2055,3746.45343640747
"CONTROL","Global","gcam_biomass",2060,3712.08542562017
"CONTROL","Global","gcam_biomass",2065,3660.83353698545
"CONTROL","Global","gcam_biomass",2070,3641.35981817285
"CONTROL","Global","gcam_biomass",2075,3648.51028131726
"CONTROL","Global","gcam_biomass",2080,3704.29826026372
"CONTROL","Global","gcam_biomass",2085,3799.45152730256
"CONTROL","Global","gcam_biomass",2090,3899.93448303279
"CONTROL","Global","gcam_biomass",2095,3973.55321969093
"CONTROL","Global","gcam_biomass",2100,4035.03488971907
"FULL_FDBK","Global","gcam_biomass",2015,0
"FULL_FDBK","Global","gcam_biomass",2020,0
"FULL_FDBK","Global","gcam_biomass",2025,965.777907825707
"FULL_FDBK","Global","gcam_biomass",2030,1571.18777055319
"FULL_FDBK","Global","gcam_biomass",2035,2211.53446001503
"FULL_FDBK","Global","gcam_biomass",2040,2682.90877137169
"FULL_FDBK","Global","gcam_biomass",2045,3232.52429041885
"FULL_FDBK","Global","gcam_biomass",2050,3566.41181328296
"FULL_FDBK","Global","gcam_biomass",2055,3654.3743659126
"FULL_FDBK","Global","gcam_biomass",2060,3590.90207183318
"FULL_FDBK","Global","gcam_biomass",2065,3541.26874951249
"FULL_FDBK","Global","gcam_biomass",2070,3516.68134721371
"FULL_FDBK","Global","gcam_biomass",2075,3458.42796849516
"FULL_FDBK","Global","gcam_biomass",2080,3626.47184871501
"FULL_FDBK","Global","gcam_biomass",2085,3639.85304579009
"FULL_FDBK","Global","gcam_biomass",2090,3752.9373542228
"FULL_FDBK","Global","gcam_biomass",2095,3853.85524889895
"FULL_FDBK","Global","gcam_biomass",2100,3836.12750591088
"AG_FDBK","Global","gcam_man_forest",2015,8152.906092199
"AG_FDBK","Global","gcam_man_forest",2020,8685.668815029
"AG_FDBK","Global","gcam_man_forest",2025,8814.411180624
"AG_FDBK","Global","gcam_man_forest",2030,8985.552550275
"AG_FDBK","Global","gcam_man_forest",2035,9306.324762988
"AG_FDBK","Global","gcam_man_forest",2040,9389.21456167765
"AG_FDBK","Global","gcam_man_forest",2045,9511.75875395562
"AG_FDBK","Global","gcam_man_forest",2050,9710.73163842749
"AG_FDBK","Global","gcam_man_forest",2055,10073.6937403789
"AG_FDBK","Global","gcam_man_forest",2060,9951.02995725596
"AG_FDBK","Global","gcam_man_forest",2065,9841.10507737064
"AG_FDBK","Global","gcam_man_forest",2070,9817.73311460304
"AG_FDBK","Global","gcam_man_forest",2075,9936.04305108769
"AG_FDBK","Global","gcam_man_forest",2080,10180.1935644623
"AG_FDBK","Global","gcam_man_forest",2085,9940.54077302714
"AG_FDBK","Global","gcam_man_forest",2090,9835.19545325307
"AG_FDBK","Global","gcam_man_forest",2095,9926.23957557424
"AG_FDBK","Global","gcam_man_forest",2100,10120.8419444422
"AG_FDBK","Global","gcam_unman_forest",2015,21769.2445706112
"AG_FDBK","Global","gcam_unman_forest",2020,21499.7692549812
"AG_FDBK","Global","gcam_unman_forest",2025,21125.2912625812
"AG_FDBK","Global","gcam_unman_forest",2030,20849.7784907902
"AG_FDBK","Global","gcam_unman_forest",2035,20444.1845618842
"AG_FDBK","Global","gcam_unman_forest",2040,20710.1407231552
"AG_FDBK","Global","gcam_unman_forest",2045,20738.4311028512
"AG_FDBK","Global","gcam_unman_forest",2050,20827.8368621092
"AG_FDBK","Global","gcam_unman_forest",2055,20889.8210095861
"AG_FDBK","Global","gcam_unman_forest",2060,21139.1240516379
"AG_FDBK","Global","gcam_unman_forest",2065,21304.1944236316
"AG_FDBK","Global","gcam_unman_forest",2070,21387.7264048563
"AG_FDBK","Global","gcam_unman_forest",2075,21476.8494787316
"AG_FDBK","Global","gcam_unman_forest",2080,21450.1765116175
"AG_FDBK","Global","gcam_unman_forest",2085,21586.2510339827
"AG_FDBK","Global","gcam_unman_forest",2090,21557.6871339871
"AG_FDBK","Global","gcam_unman_forest",2095,21663.6552151651
"AG_FDBK","Global","gcam_unman_forest",2100,21601.9245660779
"AG_FDBK","Global","gcam_crop",2015,15838.9827610302
"AG_FDBK","Global","gcam_crop",2020,16193.3499172057
"AG_FDBK","Global","gcam_crop",2025,16866.7827550175
"AG_FDBK","Global","gcam_crop",2030,17419.5730376327
"AG_FDBK","Global","gcam_crop",2035,18248.0189548761
"AG_FDBK","Global","gcam_crop",2040,18328.7690455831
"AG_FDBK","Global","gcam_crop",2045,18692.4624909343
"AG_FDBK","Global","gcam_crop",2050,18583.2392712481
"AG_FDBK","Global","gcam_crop",2055,18435.7584620101
"AG_FDBK","Global","gcam_crop",2060,18291.2511355114
"AG_FDBK","Global","gcam_crop",2065,18261.8991926968
"AG_FDBK","Global","gcam_crop",2070,18159.0849701952
"AG_FDBK","Global","gcam_crop",2075,18114.0684913558
"AG_FDBK","Global","gcam_crop",2080,18263.3816390038
"AG_FDBK","Global","gcam_crop",2085,17955.5036474672
"AG_FDBK","Global","gcam_crop",2090,18382.9797789081
"AG_FDBK","Global","gcam_crop",2095,17915.0019259957
"AG_FDBK","Global","gcam_crop",2100,18307.2046936896
"AG_FDBK","Global","gcam_forest",2015,29922.1506628102
"AG_FDBK","Global","gcam_forest",2020,30185.4380700102
"AG_FDBK","Global","gcam_forest",2025,29939.7024432052
"AG_FDBK","Global","gcam_forest",2030,29835.3310410652
"AG_FDBK","Global","gcam_forest",2035,29750.5093248722
"AG_FDBK","Global","gcam_forest",2040,30099.3552848329
"AG_FDBK","Global","gcam_forest",2045,30250.1898568068
"AG_FDBK","Global","gcam_forest",2050,30538.5685005367
"AG_FDBK","Global","gcam_forest",2055,30963.514749965
"AG_FDBK","Global","gcam_forest",2060,31090.1540088939
"AG_FDBK","Global","gcam_forest",2065,31145.2995010022
"AG_FDBK","Global","gcam_forest",2070,31205.4595194593
"AG_FDBK","Global","gcam_forest",2075,31412.8925298193
"AG_FDBK","Global","gcam_forest",2080,31630.3700760798
"AG_FDBK","Global","gcam_forest",2085,31526.7918070098
"AG_FDBK","Global","gcam_forest",2090,31392.8825872402
"AG_FDBK","Global","gcam_forest",2095,31589.8947907393
"AG_FDBK","Global","gcam_forest",2100,31722.7665105201
"AG_FDBK","Global","gcam_nb_crop",2015,15838.9827610302
"AG_FDBK","Global","gcam_nb_crop",2020,16193.3499172057
"AG_FDBK","Global","gcam_nb_crop",2025,15901.0048471918
"AG_FDBK","Global","gcam_nb_crop",2030,15848.3852670795
"AG_FDBK","Global","gcam_nb_crop",2035,16036.4844948611
