"year","region","basin_abr","agglt","gcam_reg_code","gcam_basin_code","agglt_area_thous_sqkm","above_wsum","below_wsum","above_scalar","below_scalar","above_scalar_min","above_scalar_max","below_scalar_min","below_scalar_max"
2025,"Africa_Northern","AfrIntN","Shrubland",3,144,26.31488,29.9113346496,26.8353883264,1.13667,1.01978,1.13667,1.13667,1.01978,1.01978
2025,"Africa_Northern","LChad","Shrubland",3,151,0.07774,0.07774,0.07774,1,1,1,1,1,1
2025,"Africa_Northern","MeditE","Crop",3,75,0.87311657282,0.762800646167779,0.791371560811211,0.87365269416898,0.906375603724061,0.808914,1,0.862172,1
2025,"Africa_Northern","MeditE","Grassland",3,75,0.357803,0.54892705048,0.4382371144,1.53416,1.2248,1.53416,1.53416,1.2248,1.2248
2025,"Africa_Northern","MeditE","Shrubland",3,75,0.0234898,0.031705122652,0.026604077684,1.34974,1.13258,1.34974,1.34974,1.13258,1.13258
2025,"Africa_Northern","MeditS","Crop",3,80,98.326546091911,112.551578150519,102.676475496898,1.14467132858823,1.04423962376265,1,1.2307,0.991563,1.07104
2025,"Africa_Northern","MeditS","Forest",3,80,1.76374,2.1641618922,1.886672678,1.22703,1.0697,1.22703,1.22703,1.0697,1.0697
2025,"Africa_Northern","MeditS","Grassland",3,80,16.58145,18.7249340415,17.2803581175,1.12927,1.04215,1.12927,1.12927,1.04215,1.04215
2025,"Africa_Northern","MeditS","Pasture",3,80,182.04686,205.5800575922,189.720135149,1.12927,1.04215,1.12927,1.12927,1.04215,1.04215
2025,"Africa_Northern","MeditS","Shrubland",3,80,17.76621,20.0564521311,18.180162693,1.12891,1.0233,1.12891,1.12891,1.0233,1.0233
2025,"Africa_Northern","NileR","Crop",3,87,21.2718065687,22.799820200771,22.2351485682955,1.07183280964577,1.04528726774965,0.927709,1.1057,0.964739,1.06521
2025,"Africa_Northern","NileR","Forest",3,87,1.69818,1.57822396116,1.64528678754,0.929362,0.968853,0.929362,0.929362,0.968853,0.968853
2025,"Africa_Northern","NileR","Grassland",3,87,1.847615,1.847615,1.9368548045,1,1.0483,1,1,1.0483,1.0483
2025,"Africa_Northern","NileR","Shrubland",3,87,0.273395,0.273395,0.273395,1,1,1,1,1,1
2025,"Africa_Northern","SinaiP","Crop",3,98,0.04927288365,0.04927288365,0.049421233112208,1,1.00301077288802,1,1,1,1.11104
2025,"Africa_Southern","AfrCstE","Crop",4,171,102.79378101,104.170860143412,102.9995652181,1.01339652185066,1.00200191301534,1,1.12672,0.995651,1.06151
2025,"Africa_Southern","AfrCstE","Forest",4,171,74.67445,83.9691787915,79.1437158325,1.12447,1.05985,1.12447,1.12447,1.05985,1.05985
2025,"Africa_Southern","AfrCstE","Grassland",4,171,269.872,273.042996,269.681470368,1.01175,0.999294,1.01175,1.01175,0.999294,0.999294
2025,"Africa_Southern","AfrCstE","Pasture",4,171,330.35427,334.2359326725,330.12103988538,1.01175,0.999294,1.01175,1.01175,0.999294,0.999294
2025,"Africa_Southern","AfrCstE","Shrubland",4,171,3.568807,3.568807,3.59650094232,1,1.00776,1,1,1.00776,1.00776
2025,"Africa_Southern","AfrCstS","Crop",4,198,3.8980462727,4.34791399501261,4.09017342152474,1.11540851258315,1.04928806263033,1.06541,1.19099,0.997039,1.07701
2025,"Africa_Southern","AfrCstS","Forest",4,198,1.356434,1.58643094904,1.4369383579,1.16956,1.05935,1.16956,1.16956,1.05935,1.05935
2025,"Africa_Southern","AfrCstS","Grassland",4,198,12.21627,13.615032915,12.7655134992,1.1145,1.04496,1.1145,1.1145,1.04496,1.04496
2025,"Africa_Southern","AfrCstS","Pasture",4,198,26.835922,29.908635069,28.04246505312,1.1145,1.04496,1.1145,1.1145,1.04496,1.04496
2025,"Africa_Southern","AfrCstSE","Crop",4,190,24.4331202113,30.5586306466142,27.3478618728447,1.25070520598025,1.11929469655688,1,1.35181,1,1.17785
2025,"Africa_Southern","AfrCstSE","Forest",4,190,12.693763,17.03553769652,14.87899430045,1.34204,1.17215,1.34204,1.34204,1.17215,1.17215
2025,"Africa_Southern","AfrCstSE","Grassland",4,190,91.73071,115.0917699157,103.8272387277,1.25467,1.13187,1.25467,1.25467,1.13187,1.13187
2025,"Africa_Southern","AfrCstSE","Pasture",4,190,108.07294,135.5958756298,122.3245185978,1.25467,1.13187,1.25467,1.25467,1.13187,1.13187
2025,"Africa_Southern","AfrCstSE","Shrubland",4,190,0.63292246,1.0645186146986,0.8556921782462,1.68191,1.35197,1.68191,1.68191,1.35197,1.35197
2025,"Africa_Southern","AfrCstSW","Crop",4,196,0.08004047857,0.103837858401812,0.0938296754512495,1.29731681090587,1.17227779153257,1,1.32599,1,1.20795
2025,"Africa_Southern","AfrCstSW","Grassland",4,196,5.279688,6.9089997168,6.02496875808,1.3086,1.14116,1.3086,1.3086,1.14116,1.14116
2025,"Africa_Southern","AfrCstSW","Pasture",4,196,65.72947,86.013584442,75.0078419852,1.3086,1.14116,1.3086,1.3086,1.14116,1.14116
2025,"Africa_Southern","AfrCstSW","Shrubland",4,196,84.8647,93.490348108,88.789692375,1.10164,1.04625,1.10164,1.10164,1.04625,1.04625
2025,"Africa_Southern","AfrIntS","Crop",4,197,19.63906062808,21.7917098665924,20.6416424296077,1.10961060099965,1.05105039495088,0.847587,1.37615,0.909632,1.20486
2025,"Africa_Southern","AfrIntS","Forest",4,197,29.29996,39.57692097,34.9161763328,1.35075,1.19168,1.35075,1.35075,1.19168,1.19168
2025,"Africa_Southern","AfrIntS","Grassland",4,197,279.3367,293.362195707,287.565959182,1.05021,1.02946,1.05021,1.05021,1.02946,1.02946
2025,"Africa_Southern","AfrIntS","Pasture",4,197,451.5457,474.217809597,464.848236322,1.05021,1.02946,1.05021,1.05021,1.02946,1.02946
2025,"Africa_Southern","AfrIntS","Shrubland",4,197,63.7771,60.271910584,61.6147374245,0.94504,0.966095,0.94504,0.94504,0.966095,0.966095
2025,"Africa_Southern","AngolaCst","Crop",4,182,33.24444169,40.3229758602566,36.277745251738,1.21292383960793,1.09124242753189,1,1.31019,1,1.15006
2025,"Africa_Southern","AngolaCst","Forest",4,182,90.98852,112.375371626,99.1847658816,1.23505,1.09008,1.23505,1.23505,1.09008,1.09008
2025,"Africa_Southern","AngolaCst","Grassland",4,182,118.0965,150.635628645,132.1499835,1.27553,1.119,1.27553,1.27553,1.119,1.119
2025,"Africa_Southern","AngolaCst","Pasture",4,182,222.6214,283.960274342,249.1133466,1.27553,1.119,1.27553,1.27553,1.119,1.119
2025,"Africa_Southern","AngolaCst","Shrubland",4,182,19.31305,19.31305,19.22531081385,1,0.995457,1,1,0.995457,0.995457
2025,"Africa_Southern","CongoR","Crop",4,183,26.7478448337,30.8865244523475,28.398484604796,1.15472946117263,1.06171113154568,1,1.20629,1,1.08124
2025,"Africa_Southern","CongoR","Forest",4,183,185.01551,216.579156006,195.7575105106,1.1706,1.05806,1.1706,1.1706,1.05806,1.05806
2025,"Africa_Southern","CongoR","Grassland",4,183,201.1395,241.55244834,216.9892926,1.20092,1.0788,1.20092,1.20092,1.0788,1.0788
2025,"Africa_Southern","CongoR","Pasture",4,183,178.60459,214.4898242228,192.678631692,1.20092,1.0788,1.20092,1.20092,1.0788,1.0788
2025,"Africa_Southern","CongoR","Shrubland",4,183,4.03142,4.03142,4.03142,1,1,1,1,1,1
2025,"Africa_Southern","GuineaGulf","Crop",4,162,0.3430723312,0.330726697041444,0.300138543736787,0.964014486054957,0.874854998323418,0.867897,1.08069,0.833853,1
2025,"Africa_Southern","GuineaGulf","Forest",4,162,2.7559115,2.978285998935,2.5594728841915,1.08069,0.928721,1.08069,1.08069,0.928721,0.928721
2025,"Africa_Southern","GuineaGulf","Grassland",4,162,1.0933219,0.9490340222132,0.9117112925129,0.868028,0.833891,0.868028,0.868028,0.833891,0.833891
2025,"Africa_Southern","GuineaGulf","Pasture",4,162,2.421201,2.101670261628,2.019017723091,0.868028,0.833891,0.868028,0.868028,0.833891,0.833891
2025,"Africa_Southern","LimpopoR","Crop",4,199,9.72699352489,12.2111473370968,11.1035043013444,1.25538762885471,1.14151451555222,1.01088,1.31011,1.03216,1.17578
2025,"Africa_Southern","LimpopoR","Forest",4,199,0.744363112,0.81674498101088,0.80298170707,1.09724,1.07875,1.09724,1.09724,1.07875,1.07875
2025,"Africa_Southern","LimpopoR","Grassland",4,199,122.6639,150.854517498,138.399225092,1.22982,1.12828,1.22982,1.22982,1.12828,1.12828
2025,"Africa_Southern","LimpopoR","Pasture",4,199,88.3395,108.64168389,99.67169106,1.22982,1.12828,1.22982,1.22982,1.12828,1.12828
2025,"Africa_Southern","LimpopoR","Shrubland",4,199,1.6964022,1.788839155878,1.776200959488,1.05449,1.04704,1.05449,1.05449,1.04704,1.04704
2025,"Africa_Southern","NileR","Crop",4,87,29.7459472199007,38.1022875031945,33.3716771166496,1.28092365731434,1.1218898786428,1,1.34447,1,1.15793
2025,"Africa_Southern","NileR","Forest",4,87,3.553976,4.60851175872,4.09389603392,1.29672,1.15192,1.29672,1.29672,1.15192,1.15192
2025,"Africa_Southern","NileR","Grassland",4,87,19.74179,25.7806061431,22.2709107169,1.30589,1.12811,1.30589,1.30589,1.12811,1.12811
2025,"Africa_Southern","NileR","Pasture",4,87,26.494791,34.59928261899,29.88903867501,1.30589,1.12811,1.30589,1.30589,1.12811,1.12811
2025,"Africa_Southern","NileR","Shrubland",4,87,0.2104305,0.2104305,0.2104305,1,1,1,1,1,1
2025,"Africa_Southern","OrangeR","Crop",4,194,2.51522965774,1.96081870937102,2.27633011677011,0.779578398869892,0.905018796102877,0.736146,1.03938,0.885566,1.02495
2025,"Africa_Southern","OrangeR","Grassland",4,194,31.55421,26.8491617469,29.11800410853,0.85089,0.922793,0.85089,0.85089,0.922793,0.922793
2025,"Africa_Southern","OrangeR","Pasture",4,194,195.59835,166.4326800315,180.49678819155,0.85089,0.922793,0.85089,0.85089,0.922793,0.922793
2025,"Africa_Southern","OrangeR","Shrubland",4,194,151.7381,157.5041478,154.398068893,1.038,1.01753,1.038,1.038,1.01753,1.01753
2025,"Africa_Southern","RiftValley","Crop",4,179,24.3729831496,26.1280506023105,24.9453138711966,1.07200872547845,1.02348217770815,1,1.20308,0.989084,1.0918
2025,"Africa_Southern","RiftValley","Forest",4,179,9.28353,11.0206641336,10.0591689315,1.18712,1.08355,1.18712,1.18712,1.08355,1.08355
2025,"Africa_Southern","RiftValley","Grassland",4,179,71.6144,80.20096656,74.605017344,1.1199,1.04176,1.1199,1.1199,1.04176,1.04176
2025,"Africa_Southern","RiftValley","Pasture",4,179,44.99749,50.392689051,46.8765851824,1.1199,1.04176,1.1199,1.1199,1.04176,1.04176
2025,"Africa_Southern","RiftValley","Shrubland",4,179,1.1975327,1.1975327,1.1008367246058,1,0.919254,1,1,0.919254,0.919254
2025,"Africa_Southern","ZambeziR","Crop",4,188,90.816572549,99.0786789991058,93.7641628368404,1.09097575715763,1.0324565242346,1,1.22851,1,1.098
2025,"Africa_Southern","ZambeziR","Forest",4,188,176.1502,214.607311664,192.542737612,1.21832,1.09306,1.21832,1.21832,1.09306,1.09306
2025,"Africa_Southern","ZambeziR","Grassland",4,188,589.834,669.71521862,622.6287704,1.13543,1.0556,1.13543,1.13543,1.0556,1.0556
2025,"Africa_Southern","ZambeziR","Pasture",4,188,446.463,506.92748409,471.2863428,1.13543,1.0556,1.13543,1.13543,1.0556,1.0556
2025,"Africa_Southern","ZambeziR","Shrubland",4,188,0.01274025,0.01274025,0.01274025,1,1,1,1,1,1
2025,"Africa_Western","AfrCstNW","Crop",5,86,0.0172436933721865,0.0170629799772478,0.0176065153613357,0.989520029668922,1.02104085136044,0.965501,1.42274,1,1.25542
2025,"Africa_Western","AfrCstNW","Grassland",5,86,0.08167227,0.07801710922842,0.0818952352971,0.955246,1.00273,0.955246,0.955246,1.00273,1.00273
2025,"Africa_Western","AfrCstNW","Pasture",5,86,24.69931,23.59391708026,24.7667391163,0.955246,1.00273,0.955246,0.955246,1.00273,1.00273
2025,"Africa_Western","AfrCstNW","Shrubland",5,86,2.7614,2.7614,2.7614,1,1,1,1,1,1
2025,"Africa_Western","AfrCstW","Crop",5,142,254.03720735395,252.743455839018,253.235756302987,0.994907236115496,0.996845143042977,0.979206,1.00629,0.984876,1.00491
2025,"Africa_Western","AfrCstW","Forest",5,142,173.8506,170.2355506236,174.704206446,0.979206,1.00491,0.979206,0.979206,1.00491,1.00491
2025,"Africa_Western","AfrCstW","Grassland",5,142,222.0674,217.7757254276,218.674210128,0.980674,0.98472,0.980674,0.980674,0.98472,0.98472
