"year","region","agglt","glb_agglt_area_thous_sqkm","above_wsum","below_wsum","above_scalar","below_scalar","above_scalar_min","above_scalar_max","below_scalar_min","below_scalar_max"
2035,"Globe","Grassland",19010.916013491,19910.4256795005,19157.7873733776,1.04731543000722,1.00772563298803,1.03342500737139,1.06453034406001,1.00188225326544,1.01496754940336
2035,"Globe","Pasture",31465.3823855095,32837.1100741767,31324.2568230635,1.04359482023326,0.995514894409449,1.00337343438322,1.06192126656632,0.985208778013553,1.00093823108822
2035,"Globe","Shrubland",11597.807200036,12955.5687545267,11715.2635564073,1.11707054023855,1.01012746240263,1.11342984335237,1.123604392696,1.00726401564394,1.0117229899671
2040,"Globe","Crop",15186.1466380488,16083.1924645518,15553.0323305034,1.0590700095214,1.02415923546631,0.993814938808044,1.17689366826392,0.98813859351062,1.07068952404589
2040,"Globe","Forest",30099.3552848328,31255.6230294443,30553.2491270011,1.03841503360021,1.01507985263714,1.02355052477764,1.0672356889361,1.00889000412198,1.02622542488122
2040,"Globe","Grassland",19087.470194995,20067.6788240244,19265.2300118245,1.05135351196443,1.00931290605898,1.04338134953983,1.06130559628259,1.00841399044321,1.01043507135449
2040,"Globe","Pasture",31016.1825891757,32307.0902498888,30927.3357040928,1.04162045593463,0.997135466789717,1.03106409422353,1.04728570542433,0.98994989017274,1.00309732866026
2040,"Globe","Shrubland",11540.8522435573,12735.5489208608,11579.6861828148,1.1035189301527,1.00336491087815,1.09735431922654,1.10690674180991,0.998768307692505,1.00589101123426
2045,"Globe","Crop",15524.6905947293,16877.2604881038,16017.0078439611,1.08712379065601,1.0317118879908,0.978081365857813,1.20261570837883,0.961543777859296,1.1001282999388
2045,"Globe","Forest",30263.7786409406,31763.614323522,30749.7098270366,1.04955877124189,1.01605652723876,1.02579405259509,1.08199391658459,1.01017060133714,1.02573365336905
2045,"Globe","Grassland",19109.151731181,20219.0132003606,19268.2981697889,1.05808010134582,1.00832828379023,1.0379244833405,1.08329293220691,1.00229542428661,1.01587483811735
2045,"Globe","Pasture",30660.164361404,31325.1527281139,30359.2064096354,1.0216890020181,0.99018407245894,1.01208899754692,1.02354458548921,0.985401169826353,0.996539532553531
